,index,CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
518,530.0,Randolph,"160,868",Randolph County,6806
519,531.0,Richmond,"11,020,630",Richmond County,202639
520,532.0,Rockdale,"3,501,839",Rockdale County,90639
521,533.0,Schley,"103,602",Schley County,5254
522,534.0,Screven,"286,099",Screven County,13945
523,535.0,Seminole,"273,878",Seminole County,8090
524,536.0,Spalding,"1,892,917",Spalding County,66835
525,537.0,Stephens,"846,678",Stephens County,26017
526,538.0,Stewart,"123,197",Stewart County,6649
527,539.0,Sumter,"975,824",Sumter County,29401
528,540.0,Talbot,"121,887",Talbot County,6188
529,541.0,Taliaferro,"30,791",Taliaferro County,1549
530,542.0,Tattnall,"571,927",Tattnall County,25317
531,543.0,Taylor,"196,947",Taylor County,8051
532,544.0,Telfair,"262,524",Telfair County,15813
533,545.0,Terrell,"198,468",Terrell County,8573
534,546.0,Thomas,"1,931,847",Thomas County,44427
535,547.0,Tift,"1,727,482",Tift County,40653
536,548.0,Toombs,"855,369",Toombs County,26844
537,549.0,Towns,"341,877",Towns County,12009
538,550.0,Treutlen,"91,749",Treutlen County,6860
539,551.0,Troup,"3,268,726",Troup County,70059
540,552.0,Turner,"199,373",Turner County,7929
541,553.0,Twiggs,"253,458",Twiggs County,8164
542,554.0,Union,"699,329",Union County,24606
543,555.0,Upson,"640,543",Upson County,26402
544,556.0,Walker,"1,319,659",Walker County,69769
545,557.0,Walton,"2,399,415",Walton County,94818
546,558.0,Ware,"1,276,616",Ware County,35816
547,559.0,Warren,"145,322",Warren County,5220
548,560.0,Washington,"559,579",Washington County,20352
549,561.0,Wayne,"910,312",Wayne County,30017
550,562.0,Webster,"52,402",Webster County,2573
551,563.0,Wheeler,"92,679",Wheeler County,7870
552,564.0,White,"806,939",White County,30601
553,565.0,Whitfield,"5,309,240",Whitfield County,104265
554,566.0,Wilcox,"145,360",Wilcox County,8607
555,567.0,Wilkes,"306,113",Wilkes County,9769
556,568.0,Wilkinson,"562,317",Wilkinson County,8936
557,569.0,Worth,"332,702",Worth County,20185
558,571.0,Hawaii,"79,175,387",Hawaii,1415615
559,572.0,Hawaii,"7,816,495",Hawaii County,202165
560,573.0,Honolulu,"58,428,763",Honolulu County,973491
561,574.0,Kauai,"3,711,519",Kalawao County,87
562,575.0,Maui + Kalawao,"9,207,556",Kauai County,72190
563,577.0,Idaho,"73,911,957",Maui County,167682
564,578.0,Ada,"25,857,055",Idaho,1789060
565,579.0,Adams,"110,181",Ada County,481880
566,580.0,Bannock,"2,600,103",Adams County,4265
567,581.0,Bear Lake,"169,728",Bannock County,87822
568,582.0,Benewah,"303,634",Bear Lake County,6131
569,583.0,Bingham,"1,295,594",Benewah County,9303
570,584.0,Blaine,"1,380,089",Bingham County,46772
571,585.0,Boise,"198,825",Blaine County,23012
572,586.0,Bonner,"1,410,850",Boise County,7903
573,587.0,Bonneville,"5,635,262",Bonner County,45774
574,588.0,Boundary,"344,005",Bonneville County,119286
575,589.0,Butte,"1,123,308",Boundary County,12340
576,590.0,Camas,"72,255",Butte County,2620
577,591.0,Canyon,"5,912,054",Camas County,1091
578,592.0,Caribou,"612,982",Canyon County,230270
579,593.0,Cassia,"1,569,602",Caribou County,7149
580,594.0,Clark,"46,172",Cassia County,24052
581,595.0,Clearwater,"303,451",Clark County,838
582,596.0,Custer,"180,857",Clearwater County,8761
583,597.0,Elmore,"1,228,782",Custer County,4273
584,598.0,Franklin,"352,706",Elmore County,27373
585,599.0,Fremont (includes Yellowstone National Park),"356,712",Franklin County,13898
586,600.0,Gem,"365,553",Fremont County,13105
587,601.0,Gooding,"1,351,518",Gem County,18174
588,602.0,Idaho,"403,388",Gooding County,15290
589,603.0,Jefferson,"811,428",Idaho County,16623
590,604.0,Jerome,"1,274,950",Jefferson County,29918
591,605.0,Kootenai,"5,844,703",Jerome County,24486
592,606.0,Latah,"1,237,817",Kootenai County,165656
593,607.0,Lemhi,"240,073",Latah County,40372
594,608.0,Lewis,"144,513",Lemhi County,8067
595,609.0,Lincoln,"296,091",Lewis County,3845
596,610.0,Madison,"1,169,812",Lincoln County,5325
597,611.0,Minidoka,"814,936",Madison County,40205
598,612.0,Nez Perce,"1,914,836",Minidoka County,20910
599,613.0,Oneida,"121,339",Nez Perce County,40601
600,614.0,Owyhee,"441,082",Oneida County,4500
601,615.0,Payette,"774,387",Owyhee County,11823
602,616.0,Power,"389,593",Payette County,24051
603,617.0,Shoshone,"467,959",Power County,7636
604,618.0,Teton,"317,764",Shoshone County,12868
605,619.0,Twin Falls,"3,497,144",Teton County,12096
606,620.0,Valley,"455,056",Twin Falls County,87127
607,621.0,Washington,"435,691",Valley County,11443
608,623.0,Illinois,"777,653,833",Washington County,10126
609,624.0,Adams,"3,173,733",Illinois,12667017
610,625.0,Alexander,"156,449",Adams County,65402
611,626.0,Bond,"510,704",Alexander County,5791
612,627.0,Boone,"1,759,786",Bond County,16458
613,628.0,Brown,"457,117",Boone County,53281
614,629.0,Bureau,"1,201,571",Brown County,6619
615,630.0,Calhoun,"81,792",Bureau County,32621
616,631.0,Carroll,"519,904",Calhoun County,4740
617,632.0,Cass,"589,132",Carroll County,14338
618,633.0,Champaign,"9,993,932",Cass County,12141
619,634.0,Christian,"1,413,720",Champaign County,209612
620,635.0,Clark,"537,641",Christian County,32427
621,636.0,Clay,"507,609",Clark County,15465
622,637.0,Clinton,"974,741",Clay County,13177
623,638.0,Coles,"2,250,246",Clinton County,37440
624,639.0,Cook,"367,998,188",Coles County,50774
625,640.0,Crawford,"1,875,534",Cook County,5145326
626,641.0,Cumberland,"1,214,288",Crawford County,18686
627,642.0,DeKalb,"3,780,287",Cumberland County,10733
628,643.0,De Witt,"1,097,382",DeKalb County,105131
629,644.0,Douglas,"1,010,730",De Witt County,15624
630,645.0,DuPage,"87,021,506",Douglas County,19450
631,646.0,Edgar,"705,742",DuPage County,922761
632,647.0,Edwards,"267,348",Edgar County,17169
633,648.0,Effingham,"1,929,701",Edwards County,6405
634,649.0,Fayette,"511,057",Effingham County,34109
635,650.0,Ford,"615,307",Fayette County,21332
636,651.0,Franklin,"993,704",Ford County,12972
637,652.0,Fulton,"883,966",Franklin County,38530
638,653.0,Gallatin,"203,296",Fulton County,34240
639,654.0,Greene,"270,315",Gallatin County,4833
640,655.0,Grundy,"3,996,036",Greene County,12922
641,656.0,Hamilton,"343,291",Grundy County,51031
642,657.0,Hancock,"495,948",Hamilton County,8133
643,658.0,Hardin,"72,688",Hancock County,17700
644,659.0,Henderson,"152,289",Hardin County,3848
645,660.0,Henry,"1,335,040",Henderson County,6709
646,661.0,Iroquois,"999,833",Henry County,48933
647,662.0,Jackson,"2,300,270",Iroquois County,27093
648,663.0,Jasper,"442,331",Jackson County,56844
649,664.0,Jefferson,"1,781,409",Jasper County,9618
650,665.0,Jersey,"466,026",Jefferson County,37635
651,666.0,Jo Daviess,"717,289",Jersey County,21667
652,667.0,Johnson,"210,746",Jo Daviess County,21224
653,668.0,Kane,"25,126,179",Johnson County,12380
654,669.0,Kankakee,"5,772,125",Kane County,532293
655,670.0,Kendall,"3,386,440",Kankakee County,109569
656,671.0,Knox,"1,584,871",Kendall County,128900
657,672.0,Lake,"56,544,892",Knox County,49669
658,673.0,LaSalle,"5,058,373",Lake County,697134
659,674.0,Lawrence,"519,182",LaSalle County,108517
660,675.0,Lee,"1,451,305",Lawrence County,15665
661,676.0,Livingston,"1,815,669",Lee County,34061
662,677.0,Logan,"928,849",Livingston County,35557
663,678.0,McDonough,"1,015,307",Logan County,28633
664,679.0,McHenry,"10,654,496",McDonough County,29792
665,680.0,McLean,"13,541,117",McHenry County,307439
666,681.0,Macon,"5,890,375",McLean County,171272
667,682.0,Macoupin,"1,064,871",Macon County,104012
668,683.0,Madison,"13,347,988",Macoupin County,45079
669,684.0,Marion,"1,217,049",Madison County,263609
670,685.0,Marshall,"345,119",Marion County,37309
671,686.0,Mason,"440,975",Marshall County,11463
672,687.0,Massac,"558,765",Mason County,13387
673,688.0,Menard,"212,330",Massac County,13772
674,689.0,Mercer,"368,381",Menard County,12198
675,690.0,Monroe,"852,837",Mercer County,15490
676,691.0,Montgomery,"1,003,779",Monroe County,34738
677,692.0,Morgan,"1,463,026",Montgomery County,28401
678,693.0,Moultrie,"817,022",Morgan County,33679
679,694.0,Ogle,"2,496,743",Moultrie County,14464
680,695.0,Peoria,"11,859,571",Ogle County,50660
681,696.0,Perry,"589,849",Peoria County,179359
682,697.0,Piatt,"481,990",Perry County,20935
683,698.0,Pike,"507,701",Piatt County,16391
684,699.0,Pope,"55,449",Pike County,15574
685,700.0,Pulaski,"179,834",Pope County,4176
686,701.0,Putnam,"376,052",Pulaski County,5309
687,702.0,Randolph,"1,376,896",Putnam County,5745
688,703.0,Richland,"558,037",Randolph County,31725
689,704.0,Rock Island,"9,252,035",Richland County,15519
690,705.0,St. Clair,"10,804,069",Rock Island County,141775
691,706.0,Saline,"798,817",St. Clair County,259889
692,707.0,Sangamon,"10,409,498",Saline County,23540
693,708.0,Schuyler,"232,921",Sangamon County,194882
694,709.0,Scott,"138,981",Schuyler County,6829
695,710.0,Shelby,"725,743",Scott County,4974
696,711.0,Stark,"181,671",Shelby County,21625
697,712.0,Stephenson,"1,699,902",Stark County,5312
698,713.0,Tazewell,"5,289,296",Stephenson County,44371
699,714.0,Union,"380,277",Tazewell County,131848
700,715.0,Vermilion,"2,999,161",Union County,16693
701,716.0,Wabash,"331,114",Vermilion County,75736
702,717.0,Warren,"733,817",Wabash County,11370
703,718.0,Washington,"972,249",Warren County,16816
704,719.0,Wayne,"413,880",Washington County,13926
705,720.0,White,"535,300",Wayne County,16196
706,721.0,Whiteside,"1,967,938",White County,13574
707,722.0,Will,"31,637,683",Whiteside County,55215
708,723.0,Williamson,"2,745,064",Will County,690176
709,724.0,Winnebago,"12,778,592",Williamson County,66633
710,725.0,Woodford,"1,038,559",Winnebago County,282465
711,727.0,Indiana,"338,350,092",Woodford County,38353
712,728.0,Adams,"1,710,147",Indiana,6731010
713,729.0,Allen,"19,748,219",Adams County,35688
714,730.0,Bartholomew,"6,040,912",Allen County,379006
715,731.0,Benton,"446,228",Bartholomew County,84063
716,732.0,Blackford,"309,054",Benton County,8763
717,733.0,Boone,"3,261,336",Blackford County,11787
718,734.0,Brown,"260,048",Boone County,67915
719,735.0,Carroll,"645,402",Brown County,15066
720,736.0,Cass,"1,269,636",Carroll County,20211
721,737.0,Clark,"4,864,182",Cass County,37610
722,738.0,Clay,"686,740",Clark County,118191
723,739.0,Clinton,"1,379,734",Clay County,26301
724,740.0,Crawford,"162,618",Clinton County,32298
725,741.0,Daviess,"1,237,815",Crawford County,10593
726,742.0,Dearborn,"1,655,602",Daviess County,33439
727,743.0,Decatur,"1,544,584",Dearborn County,49573
728,744.0,DeKalb,"2,460,484",Decatur County,26472
729,745.0,Delaware,"3,687,822",DeKalb County,43561
730,746.0,Dubois,"2,614,096",Delaware County,113769
731,747.0,Elkhart,"14,330,603",Dubois County,42578
732,748.0,Fayette,"515,967",Elkhart County,206268
733,749.0,Floyd,"2,748,242",Fayette County,23038
734,750.0,Fountain,"433,885",Floyd County,78601
735,751.0,Franklin,"500,001",Fountain County,16425
736,752.0,Fulton,"634,208",Franklin County,22763
737,753.0,Gibson,"3,086,643",Fulton County,20042
738,754.0,Grant,"2,162,077",Gibson County,33709
739,755.0,Greene,"597,792",Grant County,65836
740,756.0,Hamilton,"18,564,640",Greene County,32117
741,757.0,Hancock,"2,871,490",Hamilton County,337955
742,758.0,Harrison,"1,038,739",Hancock County,78159
743,759.0,Hendricks,"6,290,556",Harrison County,40552
744,760.0,Henry,"1,237,242",Hendricks County,169924
745,761.0,Howard,"3,846,806",Henry County,48025
746,762.0,Huntington,"1,355,548",Howard County,82660
747,763.0,Jackson,"2,239,168",Huntington County,36544
748,764.0,Jasper,"1,450,472",Jackson County,44179
749,765.0,Jay,"892,661",Jasper County,33516
750,766.0,Jefferson,"1,425,459",Jay County,20446
751,767.0,Jennings,"706,525",Jefferson County,32265
752,768.0,Johnson,"5,094,305",Jennings County,27662
753,769.0,Knox,"1,729,309",Johnson County,158332
754,770.0,Kosciusko,"5,312,352",Knox County,36603
755,771.0,Lagrange,"1,770,215",Kosciusko County,79438
756,772.0,Lake,"22,478,970",LaGrange County,39771
757,773.0,LaPorte,"3,850,567",Lake County,486244
758,774.0,Lawrence,"1,289,566",LaPorte County,110044
759,775.0,Madison,"3,445,980",Lawrence County,45419
760,776.0,Marion,"84,798,947",Madison County,129416
761,777.0,Marshall,"1,531,483",Marion County,963829
762,778.0,Martin,"1,017,607",Marshall County,46197
763,779.0,Miami,"894,104",Martin County,10179
764,780.0,Monroe,"6,249,464",Miami County,35488
765,781.0,Montgomery,"1,566,957",Monroe County,148178
766,782.0,Morgan,"1,635,657",Montgomery County,38275
767,783.0,Newton,"320,406",Morgan County,70403
768,784.0,Noble,"1,779,642",Newton County,13972
769,785.0,Ohio,"100,111",Noble County,47907
770,786.0,Orange,"570,305",Ohio County,5908
771,787.0,Owen,"492,340",Orange County,19657
772,788.0,Parke,"322,860",Owen County,20881
773,789.0,Perry,"717,682",Parke County,16893
774,790.0,Pike,"678,710",Perry County,19184
775,791.0,Porter,"7,100,103",Pike County,12383
776,792.0,Posey,"3,356,726",Porter County,170599
777,793.0,Pulaski,"603,372",Posey County,25408
778,794.0,Putnam,"1,012,895",Pulaski County,12379
779,795.0,Randolph,"715,849",Putnam County,37566
780,796.0,Ripley,"1,065,771",Randolph County,24533
781,797.0,Rush,"586,085",Ripley County,28465
782,798.0,St. Joseph,"13,083,953",Rush County,16605
783,799.0,Scott,"652,077",St. Joseph County,271695
784,800.0,Shelby,"1,870,693",Scott County,23855
785,801.0,Spencer,"1,009,600",Shelby County,44771
786,802.0,Starke,"489,484",Spencer County,20273
787,803.0,Steuben,"1,352,944",Starke County,23011
788,804.0,Sullivan,"897,679",Steuben County,34759
789,805.0,Switzerland,"212,013",Sullivan County,20601
790,806.0,Tippecanoe,"9,263,294",Switzerland County,10815
791,807.0,Tipton,"548,508",Tippecanoe County,194881
792,808.0,Union,"125,604",Tipton County,15133
793,809.0,Vanderburgh,"10,324,016",Union County,7135
794,810.0,Vermillion,"728,194",Vanderburgh County,181561
795,811.0,Vigo,"4,284,827",Vermillion County,15493
796,812.0,Wabash,"1,111,707",Vigo County,106958
797,813.0,Warren,"216,932",Wabash County,31028
798,814.0,Warrick,"2,211,066",Warren County,8262
799,815.0,Washington,"600,738",Warrick County,62851
800,816.0,Wayne,"2,554,088",Washington County,28063
801,817.0,Wells,"1,084,754",Wayne County,65943
802,818.0,White,"909,937",Wells County,28131
803,819.0,Whitley,"1,513,924",White County,24197
804,821.0,Iowa,"172,905,960",Whitley County,33868
805,822.0,Adair,"342,041",Iowa,3159596
806,823.0,Adams,"232,782",Adair County,7102
807,824.0,Allamakee,"609,315",Adams County,3602
808,825.0,Appanoose,"367,427",Allamakee County,13671
809,826.0,Audubon,"334,638",Appanoose County,12525
810,827.0,Benton,"816,030",Audubon County,5491
811,828.0,Black Hawk,"6,983,426",Benton County,25544
812,829.0,Boone,"955,484",Black Hawk County,131089
813,830.0,Bremer,"1,015,927",Boone County,26338
814,831.0,Buchanan,"778,043",Bremer County,25170
815,832.0,Buena Vista,"1,177,286",Buchanan County,21148
816,833.0,Butler,"390,680",Buena Vista County,19690
817,834.0,Calhoun,"433,305",Butler County,14404
818,835.0,Carroll,"1,297,781",Calhoun County,9616
819,836.0,Cass,"609,903",Carroll County,20118
820,837.0,Cedar,"586,481",Cass County,12822
821,838.0,Cerro Gordo,"2,216,619",Cedar County,18541
822,839.0,Cherokee,"616,660",Cerro Gordo County,42477
823,840.0,Chickasaw,"623,538",Cherokee County,11231
824,841.0,Clarke,"375,800",Chickasaw County,11943
825,842.0,Clay,"1,033,121",Clarke County,9382
826,843.0,Clayton,"876,540",Clay County,16094
827,844.0,Clinton,"1,985,487",Clayton County,17497
828,845.0,Crawford,"743,393",Clinton County,46559
829,846.0,Dallas,"4,735,221",Crawford County,16903
830,847.0,Davis,"238,854",Dallas County,93631
831,848.0,Decatur,"191,710",Davis County,9006
832,849.0,Delaware,"894,253",Decatur County,7852
833,850.0,Des Moines,"1,970,021",Delaware County,17057
834,851.0,Dickinson,"967,369",Des Moines County,39051
835,852.0,Dubuque,"5,985,867",Dickinson County,17290
836,853.0,Emmet,"371,031",Dubuque County,97432
837,854.0,Fayette,"723,829",Emmet County,9224
838,855.0,Floyd,"770,175",Fayette County,19575
839,856.0,Franklin,"596,250",Floyd County,15655
840,857.0,Fremont,"322,171",Franklin County,10082
841,858.0,Greene,"455,510",Fremont County,6917
842,859.0,Grundy,"471,955",Greene County,8881
843,860.0,Guthrie,"411,223",Grundy County,12227
844,861.0,Hamilton,"831,627",Guthrie County,10741
845,862.0,Hancock,"748,067",Hamilton County,14797
846,863.0,Hardin,"812,628",Hancock County,10664
847,864.0,Harrison,"391,695",Hardin County,16809
848,865.0,Henry,"847,711",Harrison County,14034
849,866.0,Howard,"459,868",Henry County,19835
850,867.0,Humboldt,"462,962",Howard County,9146
851,868.0,Ida,"477,808",Humboldt County,9499
852,869.0,Iowa,"1,048,243",Ida County,6822
853,870.0,Jackson,"611,405",Iowa County,16146
854,871.0,Jasper,"1,112,617",Jackson County,19375
855,872.0,Jefferson,"641,917",Jasper County,37171
856,873.0,Johnson,"8,467,681",Jefferson County,18180
857,874.0,Jones,"577,901",Johnson County,152480
858,875.0,Keokuk,"357,311",Jones County,20634
859,876.0,Kossuth,"918,126",Keokuk County,10192
860,877.0,Lee,"1,595,064",Kossuth County,14769
861,878.0,Linn,"15,261,669",Lee County,33641
862,879.0,Louisa,"719,866",Linn County,227241
863,880.0,Lucas,"295,145",Louisa County,11059
864,881.0,Lyon,"1,011,527",Lucas County,8561
865,882.0,Madison,"384,322",Lyon County,11806
866,883.0,Mahaska,"857,388",Madison County,16273
867,884.0,Marion,"1,899,346",Mahaska County,22429
868,885.0,Marshall,"1,705,362",Marion County,33280
869,886.0,Mills,"557,952",Marshall County,39472
870,887.0,Mitchell,"661,526",Mills County,15124
871,888.0,Monona,"320,313",Mitchell County,10565
872,889.0,Monroe,"383,970",Monona County,8626
873,890.0,Montgomery,"386,289",Monroe County,7681
874,891.0,Muscatine,"2,388,163",Montgomery County,9917
875,892.0,O'Brien,"924,587",Muscatine County,42571
876,893.0,Osceola,"385,969",O'Brien County,13796
877,894.0,Page,"577,598",Osceola County,5961
878,895.0,Palo Alto,"567,112",Page County,15129
879,896.0,Plymouth,"1,428,315",Palo Alto County,8873
880,897.0,Pocahontas,"609,856",Plymouth County,25200
881,898.0,Polk,"39,489,590",Pocahontas County,6632
882,899.0,Pottawattamie,"3,932,364",Polk County,491031
883,900.0,Poweshiek,"1,044,786",Pottawattamie County,93405
884,901.0,Ringgold,"204,306",Poweshiek County,18458
885,902.0,Sac,"568,502",Ringgold County,4866
886,903.0,Scott,"8,709,079",Sac County,9675
887,904.0,Shelby,"697,693",Scott County,173400
888,905.0,Sioux,"2,496,775",Shelby County,11479
889,906.0,Story,"4,987,743",Sioux County,34950
890,907.0,Tama,"609,441",Story County,97441
891,908.0,Taylor,"245,069",Tama County,16904
892,909.0,Union,"575,428",Taylor County,6188
893,910.0,Van Buren,"208,429",Union County,12224
894,911.0,Wapello,"1,478,010",Van Buren County,7044
895,912.0,Warren,"1,128,907",Wapello County,35151
896,913.0,Washington,"1,253,762",Warren County,51548
897,914.0,Wayne,"210,467",Washington County,22030
898,915.0,Webster,"1,898,607",Wayne County,6413
899,916.0,Winnebago,"390,344",Webster County,35982
900,917.0,Winneshiek,"949,011",Winnebago County,10357
901,918.0,Woodbury,"4,663,116",Winneshiek County,19992
902,919.0,Worth,"273,178",Woodbury County,103132
903,920.0,Wright,"647,649",Worth County,7407
904,922.0,Kansas,"160,182,322",Wright County,12551
905,923.0,Allen,"537,849",Kansas,2912635
906,924.0,Anderson,"266,839",Allen County,12404
907,925.0,Atchison,"689,470",Anderson County,7899
908,926.0,Barber,"205,882",Atchison County,16138
909,927.0,Barton,"1,192,574",Barber County,4458
910,928.0,Bourbon,"557,183",Barton County,25938
911,929.0,Brown,"513,114",Bourbon County,14499
912,930.0,Butler,"2,387,802",Brown County,9541
913,931.0,Chase,"129,757",Butler County,66932
914,932.0,Chautauqua,"72,755",Chase County,2585
915,933.0,Cherokee,"695,416",Chautauqua County,3203
916,934.0,Cheyenne,"125,305",Cherokee County,19948
917,935.0,Clark,"213,455",Cheyenne County,2624
918,936.0,Clay,"282,184",Clark County,2006
919,937.0,Cloud,"357,553",Clay County,8009
920,938.0,Coffey,"773,136",Cloud County,8779
921,939.0,Comanche,"68,988",Coffey County,8142
922,940.0,Cowley,"1,246,988",Comanche County,1704
923,941.0,Crawford,"1,487,985",Cowley County,34784
924,942.0,Decatur,"143,700",Crawford County,38734
925,943.0,Dickinson,"602,462",Decatur County,2816
926,944.0,Doniphan,"268,532",Dickinson County,18381
927,945.0,Douglas,"4,581,216",Doniphan County,7584
928,946.0,Edwards,"204,201",Douglas County,122269
929,947.0,Elk,"74,578",Edwards County,2783
930,948.0,Ellis,"1,478,814",Elk County,2507
931,949.0,Ellsworth,"270,728",Ellis County,28652
932,950.0,Finney,"2,110,368",Ellsworth County,6093
933,951.0,Ford,"2,106,351",Finney County,36351
934,952.0,Franklin,"828,536",Ford County,33346
935,953.0,Geary,"2,633,825",Franklin County,25618
936,954.0,Gove,"152,348",Geary County,31992
937,955.0,Graham,"130,081",Gove County,2665
938,956.0,Grant,"485,625",Graham County,2441
939,957.0,Gray,"701,121",Grant County,7136
940,958.0,Greeley,"159,555",Gray County,5996
941,959.0,Greenwood,"153,354",Greeley County,1211
942,960.0,Hamilton,"307,977",Greenwood County,6001
943,961.0,Harper,"330,280",Hamilton County,2515
944,962.0,Harvey,"1,194,007",Harper County,5442
945,963.0,Haskell,"357,932",Harvey County,34442
946,964.0,Hodgeman,"161,290",Haskell County,3987
947,965.0,Jackson,"353,105",Hodgeman County,1763
948,966.0,Jefferson,"398,250",Jackson County,13164
949,967.0,Jewell,"139,435",Jefferson County,19165
950,968.0,Johnson,"46,428,493",Jewell County,2858
951,969.0,Kearny,"260,732",Johnson County,602948
952,970.0,Kingman,"277,391",Kearny County,3807
953,971.0,Kiowa,"112,542",Kingman County,7056
954,972.0,Labette,"779,473",Kiowa County,2470
955,973.0,Lane,"142,236",Labette County,19704
956,974.0,Leavenworth,"2,604,170",Lane County,1527
957,975.0,Lincoln,"98,786",Leavenworth County,81911
958,976.0,Linn,"441,336",Lincoln County,2964
959,977.0,Logan,"150,559",Linn County,9714
960,978.0,Lyon,"1,310,621",Logan County,2776
961,979.0,McPherson,"2,042,434",Lyon County,33224
962,980.0,Marion,"391,573",McPherson County,28584
963,981.0,Marshall,"467,741",Marion County,11831
964,982.0,Meade,"289,356",Marshall County,9691
965,983.0,Miami,"878,673",Meade County,4023
966,984.0,Mitchell,"417,815",Miami County,34244
967,985.0,Montgomery,"1,723,501",Mitchell County,5967
968,986.0,Morris,"188,196",Montgomery County,31796
969,987.0,Morton,"139,749",Morris County,5623
970,988.0,Nemaha,"391,116",Morton County,2536
971,989.0,Neosho,"568,001",Nemaha County,10170
972,990.0,Ness,"186,109",Neosho County,15899
973,991.0,Norton,"226,168",Ness County,2782
974,992.0,Osage,"291,580",Norton County,5372
975,993.0,Osborne,"165,896",Osage County,15906
976,994.0,Ottawa,"101,593",Osborne County,3438
977,995.0,Pawnee,"296,129",Ottawa County,5713
978,996.0,Phillips,"384,490",Pawnee County,6384
979,997.0,Pottawatomie,"1,117,860",Phillips County,5248
980,998.0,Pratt,"584,382",Pottawatomie County,24468
981,999.0,Rawlins,"117,585",Pratt County,9114
982,1000.0,Reno,"2,322,364",Rawlins County,2493
983,1001.0,Republic,"218,773",Reno County,61963
984,1002.0,Rice,"624,383",Republic County,4563
985,1003.0,Riley,"2,438,944",Rice County,9512
986,1004.0,Rooks,"181,885",Riley County,72762
987,1005.0,Rush,"155,966",Rooks County,4937
988,1006.0,Russell,"256,462",Rush County,2994
989,1007.0,Saline,"2,602,044",Russell County,6868
990,1008.0,Scott,"349,188",Saline County,54140
991,1009.0,Sedgwick,"29,529,249",Scott County,4850
992,1010.0,Seward,"1,157,326",Sedgwick County,516579
993,1011.0,Shawnee,"9,391,170",Seward County,21421
994,1012.0,Sheridan,"103,768",Shawnee County,176735
995,1013.0,Sherman,"277,223",Sheridan County,2517
996,1014.0,Smith,"161,018",Sherman County,5932
997,1015.0,Stafford,"195,286",Smith County,3571
998,1016.0,Stanton,"242,385",Stafford County,4081
999,1017.0,Stevens,"337,332",Stanton County,1987
1000,1018.0,Sumner,"711,201",Stevens County,5405
1001,1019.0,Thomas,"483,434",Sumner County,22810
1002,1020.0,Trego,"165,140",Thomas County,7704
1003,1021.0,Wabaunsee,"140,330",Trego County,2779
1004,1022.0,Wallace,"98,873",Wabaunsee County,6892
1005,1023.0,Washington,"212,751",Wallace County,1518
1006,1024.0,Wichita,"291,702",Washington County,5449
1007,1025.0,Wilson,"314,648",Wichita County,2118
1008,1026.0,Woodson,"80,610",Wilson County,8555
1009,1027.0,Wyandotte,"11,056,360",Woodson County,3096
1010,1029.0,Kentucky,"191,355,498",Wyandotte County,166009
1011,1030.0,Adair,"346,089",Kentucky,4472345
1012,1031.0,Allen,"457,926",Adair County,19472
1013,1032.0,Anderson,"513,638",Allen County,21320
1014,1033.0,Ballard,"203,399",Anderson County,22700
1015,1034.0,Barren,"1,319,369",Ballard County,7817
1016,1035.0,Bath,"183,392",Barren County,44185
1017,1036.0,Bell,"706,970",Bath County,12532
1018,1037.0,Boone,"10,561,822",Bell County,26026
1019,1038.0,Bourbon,"955,326",Boone County,133670
1020,1039.0,Boyd,"4,082,463",Bourbon County,19774
1021,1040.0,Boyle,"1,148,042",Boyd County,46839
1022,1041.0,Bracken,"138,408",Boyle County,30000
1023,1042.0,Breathitt,"202,568",Bracken County,8330
1024,1043.0,Breckinridge,"357,495",Breathitt County,12612
1025,1044.0,Bullitt,"2,264,688",Breckinridge County,20471
1026,1045.0,Butler,"294,221",Bullitt County,81803
1027,1046.0,Caldwell,"351,121",Butler County,12861
1028,1047.0,Calloway,"1,300,051",Caldwell County,12731
1029,1048.0,Campbell,"3,122,673",Calloway County,39073
1030,1049.0,Carlisle,"154,344",Campbell County,93841
1031,1050.0,Carroll,"1,989,506",Carlisle County,4721
1032,1051.0,Carter,"441,471",Carroll County,10658
1033,1052.0,Casey,"300,052",Carter County,26766
1034,1053.0,Christian,"5,277,096",Casey County,16204
1035,1054.0,Clark,"1,389,224",Christian County,71577
1036,1055.0,Clay,"300,081",Clark County,36280
1037,1056.0,Clinton,"300,112",Clay County,19912
1038,1057.0,Crittenden,"178,095",Clinton County,10200
1039,1058.0,Cumberland,"144,568",Crittenden County,8807
1040,1059.0,Daviess,"4,162,469",Cumberland County,6626
1041,1060.0,Edmonson,"164,971",Daviess County,101555
1042,1061.0,Elliott,"72,925",Edmonson County,12149
1043,1062.0,Estill,"193,412",Elliott County,7485
1044,1063.0,Fayette,"18,608,398",Estill County,14143
1045,1064.0,Fleming,"282,228",Fayette County,323922
1046,1065.0,Floyd,"1,057,027",Fleming County,14574
1047,1066.0,Franklin,"2,728,399",Floyd County,35515
1048,1067.0,Fulton,"181,588",Franklin County,50887
1049,1068.0,Gallatin,"350,515",Fulton County,5989
1050,1069.0,Garrard,"233,633",Gallatin County,8842
1051,1070.0,Grant,"464,860",Garrard County,17684
1052,1071.0,Graves,"1,153,315",Grant County,25120
1053,1072.0,Grayson,"653,214",Graves County,37170
1054,1073.0,Green,"145,641",Grayson County,26435
1055,1074.0,Greenup,"858,427",Green County,10949
