CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
Stephenson,1699902.00,Stephenson County,44371
Tazewell,5289296.00,Tazewell County,131848
Union,380277.00,Union County,16693
Vermilion,2999161.00,Vermilion County,75736
Wabash,331114.00,Wabash County,11370
Warren,733817.00,Warren County,16816
Washington,972249.00,Washington County,13926
Wayne,413880.00,Wayne County,16196
White,535300.00,White County,13574
Whiteside,1967938.00,Whiteside County,55215
Will,31637683.00,Will County,690176
Williamson,2745064.00,Williamson County,66633
Winnebago,12778592.00,Winnebago County,282465
Woodford,1038559.00,Woodford County,38353
Indiana,338350092.00,Indiana,6731010
Adams,1710147.00,Adams County,35688
Allen,19748219.00,Allen County,379006
Bartholomew,6040912.00,Bartholomew County,84063
Benton,446228.00,Benton County,8763
Blackford,309054.00,Blackford County,11787
Boone,3261336.00,Boone County,67915
Brown,260048.00,Brown County,15066
Carroll,645402.00,Carroll County,20211
Cass,1269636.00,Cass County,37610
Clark,4864182.00,Clark County,118191
Clay,686740.00,Clay County,26301
Clinton,1379734.00,Clinton County,32298
Crawford,162618.00,Crawford County,10593
Daviess,1237815.00,Daviess County,33439
Dearborn,1655602.00,Dearborn County,49573
Decatur,1544584.00,Decatur County,26472
DeKalb,2460484.00,DeKalb County,43561
Delaware,3687822.00,Delaware County,113769
Dubois,2614096.00,Dubois County,42578
Elkhart,14330603.00,Elkhart County,206268
Fayette,515967.00,Fayette County,23038
Floyd,2748242.00,Floyd County,78601
Fountain,433885.00,Fountain County,16425
Franklin,500001.00,Franklin County,22763
Fulton,634208.00,Fulton County,20042
Gibson,3086643.00,Gibson County,33709
Grant,2162077.00,Grant County,65836
Greene,597792.00,Greene County,32117
Hamilton,18564640.00,Hamilton County,337955
Hancock,2871490.00,Hancock County,78159
Harrison,1038739.00,Harrison County,40552
Hendricks,6290556.00,Hendricks County,169924
Henry,1237242.00,Henry County,48025
Howard,3846806.00,Howard County,82660
Huntington,1355548.00,Huntington County,36544
Jackson,2239168.00,Jackson County,44179
Jasper,1450472.00,Jasper County,33516
Jay,892661.00,Jay County,20446
Jefferson,1425459.00,Jefferson County,32265
Jennings,706525.00,Jennings County,27662
Johnson,5094305.00,Johnson County,158332
Knox,1729309.00,Knox County,36603
Kosciusko,5312352.00,Kosciusko County,79438
Lagrange,1770215.00,LaGrange County,39771
Lake,22478970.00,Lake County,486244
LaPorte,3850567.00,LaPorte County,110044
Lawrence,1289566.00,Lawrence County,45419
Madison,3445980.00,Madison County,129416
Marion,84798947.00,Marion County,963829
Marshall,1531483.00,Marshall County,46197
Martin,1017607.00,Martin County,10179
Miami,894104.00,Miami County,35488
Monroe,6249464.00,Monroe County,148178
Montgomery,1566957.00,Montgomery County,38275
Morgan,1635657.00,Morgan County,70403
Newton,320406.00,Newton County,13972
Noble,1779642.00,Noble County,47907
Ohio,100111.00,Ohio County,5908
Orange,570305.00,Orange County,19657
Owen,492340.00,Owen County,20881
Parke,322860.00,Parke County,16893
Perry,717682.00,Perry County,19184
Pike,678710.00,Pike County,12383
Porter,7100103.00,Porter County,170599
Posey,3356726.00,Posey County,25408
Pulaski,603372.00,Pulaski County,12379
Putnam,1012895.00,Putnam County,37566
Randolph,715849.00,Randolph County,24533
Ripley,1065771.00,Ripley County,28465
Rush,586085.00,Rush County,16605
St. Joseph,13083953.00,St. Joseph County,271695
Scott,652077.00,Scott County,23855
Shelby,1870693.00,Shelby County,44771
Spencer,1009600.00,Spencer County,20273
Starke,489484.00,Starke County,23011
Steuben,1352944.00,Steuben County,34759
Sullivan,897679.00,Sullivan County,20601
Switzerland,212013.00,Switzerland County,10815
Tippecanoe,9263294.00,Tippecanoe County,194881
Tipton,548508.00,Tipton County,15133
Union,125604.00,Union County,7135
Vanderburgh,10324016.00,Vanderburgh County,181561
Vermillion,728194.00,Vermillion County,15493
Vigo,4284827.00,Vigo County,106958
Wabash,1111707.00,Wabash County,31028
Warren,216932.00,Warren County,8262
Warrick,2211066.00,Warrick County,62851
Washington,600738.00,Washington County,28063
Wayne,2554088.00,Wayne County,65943
Wells,1084754.00,Wells County,28131
White,909937.00,White County,24197
Whitley,1513924.00,Whitley County,33868
Iowa,172905960.00,Iowa,3159596
Adair,342041.00,Adair County,7102
Adams,232782.00,Adams County,3602
Allamakee,609315.00,Allamakee County,13671
Appanoose,367427.00,Appanoose County,12525
Audubon,334638.00,Audubon County,5491
Benton,816030.00,Benton County,25544
Black Hawk,6983426.00,Black Hawk County,131089
Boone,955484.00,Boone County,26338
Bremer,1015927.00,Bremer County,25170
Buchanan,778043.00,Buchanan County,21148
Buena Vista,1177286.00,Buena Vista County,19690
Butler,390680.00,Butler County,14404
Calhoun,433305.00,Calhoun County,9616
Carroll,1297781.00,Carroll County,20118
Cass,609903.00,Cass County,12822
Cedar,586481.00,Cedar County,18541
Cerro Gordo,2216619.00,Cerro Gordo County,42477
Cherokee,616660.00,Cherokee County,11231
Chickasaw,623538.00,Chickasaw County,11943
Clarke,375800.00,Clarke County,9382
Clay,1033121.00,Clay County,16094
Clayton,876540.00,Clayton County,17497
Clinton,1985487.00,Clinton County,46559
Crawford,743393.00,Crawford County,16903
Dallas,4735221.00,Dallas County,93631
Davis,238854.00,Davis County,9006
Decatur,191710.00,Decatur County,7852
Delaware,894253.00,Delaware County,17057
Des Moines,1970021.00,Des Moines County,39051
Dickinson,967369.00,Dickinson County,17290
Dubuque,5985867.00,Dubuque County,97432
Emmet,371031.00,Emmet County,9224
Fayette,723829.00,Fayette County,19575
Floyd,770175.00,Floyd County,15655
Franklin,596250.00,Franklin County,10082
Fremont,322171.00,Fremont County,6917
Greene,455510.00,Greene County,8881
Grundy,471955.00,Grundy County,12227
Guthrie,411223.00,Guthrie County,10741
Hamilton,831627.00,Hamilton County,14797
Hancock,748067.00,Hancock County,10664
Hardin,812628.00,Hardin County,16809
Harrison,391695.00,Harrison County,14034
Henry,847711.00,Henry County,19835
Howard,459868.00,Howard County,9146
Humboldt,462962.00,Humboldt County,9499
Ida,477808.00,Ida County,6822
Iowa,1048243.00,Iowa County,16146
Jackson,611405.00,Jackson County,19375
Jasper,1112617.00,Jasper County,37171
Jefferson,641917.00,Jefferson County,18180
Johnson,8467681.00,Johnson County,152480
Jones,577901.00,Jones County,20634
Keokuk,357311.00,Keokuk County,10192
Kossuth,918126.00,Kossuth County,14769
Lee,1595064.00,Lee County,33641
Linn,15261669.00,Linn County,227241
Louisa,719866.00,Louisa County,11059
Lucas,295145.00,Lucas County,8561
Lyon,1011527.00,Lyon County,11806
Madison,384322.00,Madison County,16273
Mahaska,857388.00,Mahaska County,22429
Marion,1899346.00,Marion County,33280
Marshall,1705362.00,Marshall County,39472
Mills,557952.00,Mills County,15124
Mitchell,661526.00,Mitchell County,10565
Monona,320313.00,Monona County,8626
Monroe,383970.00,Monroe County,7681
Montgomery,386289.00,Montgomery County,9917
Muscatine,2388163.00,Muscatine County,42571
O'Brien,924587.00,O'Brien County,13796
Osceola,385969.00,Osceola County,5961
Page,577598.00,Page County,15129
Palo Alto,567112.00,Palo Alto County,8873
Plymouth,1428315.00,Plymouth County,25200
Pocahontas,609856.00,Pocahontas County,6632
Polk,39489590.00,Polk County,491031
Pottawattamie,3932364.00,Pottawattamie County,93405
Poweshiek,1044786.00,Poweshiek County,18458
Ringgold,204306.00,Ringgold County,4866
Sac,568502.00,Sac County,9675
Scott,8709079.00,Scott County,173400
Shelby,697693.00,Shelby County,11479
Sioux,2496775.00,Sioux County,34950
Story,4987743.00,Story County,97441
Tama,609441.00,Tama County,16904
Taylor,245069.00,Taylor County,6188
Union,575428.00,Union County,12224
Van Buren,208429.00,Van Buren County,7044
Wapello,1478010.00,Wapello County,35151
Warren,1128907.00,Warren County,51548
Washington,1253762.00,Washington County,22030
Wayne,210467.00,Wayne County,6413
Webster,1898607.00,Webster County,35982
Winnebago,390344.00,Winnebago County,10357
Winneshiek,949011.00,Winneshiek County,19992
Woodbury,4663116.00,Woodbury County,103132
Worth,273178.00,Worth County,7407
Wright,647649.00,Wright County,12551
Kansas,160182322.00,Kansas,2912635
Allen,537849.00,Allen County,12404
Anderson,266839.00,Anderson County,7899
Atchison,689470.00,Atchison County,16138
Barber,205882.00,Barber County,4458
Barton,1192574.00,Barton County,25938
Bourbon,557183.00,Bourbon County,14499
Brown,513114.00,Brown County,9541
Butler,2387802.00,Butler County,66932
Chase,129757.00,Chase County,2585
Chautauqua,72755.00,Chautauqua County,3203
Cherokee,695416.00,Cherokee County,19948
Cheyenne,125305.00,Cheyenne County,2624
Clark,213455.00,Clark County,2006
Clay,282184.00,Clay County,8009
Cloud,357553.00,Cloud County,8779
Coffey,773136.00,Coffey County,8142
Comanche,68988.00,Comanche County,1704
Cowley,1246988.00,Cowley County,34784
Crawford,1487985.00,Crawford County,38734
Decatur,143700.00,Decatur County,2816
Dickinson,602462.00,Dickinson County,18381
Doniphan,268532.00,Doniphan County,7584
Douglas,4581216.00,Douglas County,122269
Edwards,204201.00,Edwards County,2783
Elk,74578.00,Elk County,2507
Ellis,1478814.00,Ellis County,28652
Ellsworth,270728.00,Ellsworth County,6093
Finney,2110368.00,Finney County,36351
Ford,2106351.00,Ford County,33346
Franklin,828536.00,Franklin County,25618
Geary,2633825.00,Geary County,31992
Gove,152348.00,Gove County,2665
Graham,130081.00,Graham County,2441
Grant,485625.00,Grant County,7136
Gray,701121.00,Gray County,5996
Greeley,159555.00,Greeley County,1211
Greenwood,153354.00,Greenwood County,6001
Hamilton,307977.00,Hamilton County,2515
Harper,330280.00,Harper County,5442
Harvey,1194007.00,Harvey County,34442
Haskell,357932.00,Haskell County,3987
Hodgeman,161290.00,Hodgeman County,1763
Jackson,353105.00,Jackson County,13164
Jefferson,398250.00,Jefferson County,19165
Jewell,139435.00,Jewell County,2858
Johnson,46428493.00,Johnson County,602948
Kearny,260732.00,Kearny County,3807
Kingman,277391.00,Kingman County,7056
Kiowa,112542.00,Kiowa County,2470
Labette,779473.00,Labette County,19704
Lane,142236.00,Lane County,1527
Leavenworth,2604170.00,Leavenworth County,81911
Lincoln,98786.00,Lincoln County,2964
Linn,441336.00,Linn County,9714
Logan,150559.00,Logan County,2776
Lyon,1310621.00,Lyon County,33224
McPherson,2042434.00,McPherson County,28584
Marion,391573.00,Marion County,11831
Marshall,467741.00,Marshall County,9691
Meade,289356.00,Meade County,4023
Miami,878673.00,Miami County,34244
Mitchell,417815.00,Mitchell County,5967
Montgomery,1723501.00,Montgomery County,31796
Morris,188196.00,Morris County,5623
Morton,139749.00,Morton County,2536
Nemaha,391116.00,Nemaha County,10170
Neosho,568001.00,Neosho County,15899
Ness,186109.00,Ness County,2782
Norton,226168.00,Norton County,5372
Osage,291580.00,Osage County,15906
Osborne,165896.00,Osborne County,3438
Ottawa,101593.00,Ottawa County,5713
Pawnee,296129.00,Pawnee County,6384
Phillips,384490.00,Phillips County,5248
Pottawatomie,1117860.00,Pottawatomie County,24468
Pratt,584382.00,Pratt County,9114
Rawlins,117585.00,Rawlins County,2493
Reno,2322364.00,Reno County,61963
Republic,218773.00,Republic County,4563
Rice,624383.00,Rice County,9512
Riley,2438944.00,Riley County,72762
Rooks,181885.00,Rooks County,4937
Rush,155966.00,Rush County,2994
Russell,256462.00,Russell County,6868
Saline,2602044.00,Saline County,54140
Scott,349188.00,Scott County,4850
Sedgwick,29529249.00,Sedgwick County,516579
Seward,1157326.00,Seward County,21421
Shawnee,9391170.00,Shawnee County,176735
Sheridan,103768.00,Sheridan County,2517
Sherman,277223.00,Sherman County,5932
Smith,161018.00,Smith County,3571
Stafford,195286.00,Stafford County,4081
Stanton,242385.00,Stanton County,1987
Stevens,337332.00,Stevens County,5405
Sumner,711201.00,Sumner County,22810
Thomas,483434.00,Thomas County,7704
Trego,165140.00,Trego County,2779
Wabaunsee,140330.00,Wabaunsee County,6892
Wallace,98873.00,Wallace County,1518
Washington,212751.00,Washington County,5449
Wichita,291702.00,Wichita County,2118
Wilson,314648.00,Wilson County,8555
Woodson,80610.00,Woodson County,3096
Wyandotte,11056360.00,Wyandotte County,166009
Kentucky,191355498.00,Kentucky,4472345
Adair,346089.00,Adair County,19472
Allen,457926.00,Allen County,21320
Anderson,513638.00,Anderson County,22700
Ballard,203399.00,Ballard County,7817
Barren,1319369.00,Barren County,44185
Bath,183392.00,Bath County,12532
Bell,706970.00,Bell County,26026
Boone,10561822.00,Boone County,133670
Bourbon,955326.00,Bourbon County,19774
Boyd,4082463.00,Boyd County,46839
Boyle,1148042.00,Boyle County,30000
Bracken,138408.00,Bracken County,8330
Breathitt,202568.00,Breathitt County,12612
Breckinridge,357495.00,Breckinridge County,20471
Bullitt,2264688.00,Bullitt County,81803
Butler,294221.00,Butler County,12861
Caldwell,351121.00,Caldwell County,12731
Calloway,1300051.00,Calloway County,39073
Campbell,3122673.00,Campbell County,93841
Carlisle,154344.00,Carlisle County,4721
Carroll,1989506.00,Carroll County,10658
Carter,441471.00,Carter County,26766
Casey,300052.00,Casey County,16204
Christian,5277096.00,Christian County,71577
Clark,1389224.00,Clark County,36280
Clay,300081.00,Clay County,19912
Clinton,300112.00,Clinton County,10200
Crittenden,178095.00,Crittenden County,8807
Cumberland,144568.00,Cumberland County,6626
Daviess,4162469.00,Daviess County,101555
Edmonson,164971.00,Edmonson County,12149
Elliott,72925.00,Elliott County,7485
Estill,193412.00,Estill County,14143
Fayette,18608398.00,Fayette County,323922
Fleming,282228.00,Fleming County,14574
Floyd,1057027.00,Floyd County,35515
Franklin,2728399.00,Franklin County,50887
Fulton,181588.00,Fulton County,5989
Gallatin,350515.00,Gallatin County,8842
Garrard,233633.00,Garrard County,17684
Grant,464860.00,Grant County,25120
Graves,1153315.00,Graves County,37170
Grayson,653214.00,Grayson County,26435
Green,145641.00,Green County,10949
Greenup,858427.00,Greenup County,35164
Hancock,809526.00,Hancock County,8716
Hardin,4739384.00,Hardin County,110970
Harlan,506870.00,Harlan County,25960
Harrison,469763.00,Harrison County,18838
Hart,523882.00,Hart County,19014
Henderson,1860747.00,Henderson County,45276
Henry,316576.00,Henry County,16063
Hickman,181818.00,Hickman County,4365
Hopkins,1755912.00,Hopkins County,44660
Jackson,148395.00,Jackson County,13316
Jefferson,50106756.00,Jefferson County,767785
Jessamine,1884149.00,Jessamine County,54012
Johnson,405228.00,Johnson County,22188
Kenton,7702883.00,Kenton County,167333
Knott,207437.00,Knott County,14861
Knox,557439.00,Knox County,31151
Larue,195499.00,Larue County,14393
Laurel,1914336.00,Laurel County,60842
Lawrence,324037.00,Lawrence County,15395
Lee,119334.00,Lee County,7390
Leslie,157687.00,Leslie County,9880
Letcher,323567.00,Letcher County,21560
Lewis,184836.00,Lewis County,13309
Lincoln,371568.00,Lincoln County,24519
Livingston,256428.00,Livingston County,9148
Logan,1152832.00,Logan County,27111
Lyon,201401.00,Lyon County,8256
McCracken,3878458.00,McCracken County,65622
McCreary,225356.00,McCreary County,17260
McLean,279477.00,McLean County,9162
Madison,2721651.00,Madison County,93099
Magoffin,148681.00,Magoffin County,12184
Marion,833855.00,Marion County,19237
Marshall,1300162.00,Marshall County,31113
Martin,245888.00,Martin County,11258
Mason,973633.00,Mason County,17049
Meade,492501.00,Meade County,28610
Menifee,79018.00,Menifee County,6483
Mercer,723499.00,Mercer County,21921
Metcalfe,160767.00,Metcalfe County,10084
Monroe,286191.00,Monroe County,10654
Montgomery,917274.00,Montgomery County,28197
Morgan,236676.00,Morgan County,13297
Muhlenberg,1169173.00,Muhlenberg County,30681
Nelson,1437498.00,Nelson County,46221
Nicholas,89098.00,Nicholas County,7248
Ohio,839286.00,Ohio County,24043
Oldham,1750019.00,Oldham County,66818
Owen,171058.00,Owen County,10884
Owsley,43963.00,Owsley County,4413
Pendleton,260902.00,Pendleton County,14566
Perry,902250.00,Perry County,25801
Pike,1942230.00,Pike County,57919
Powell,201426.00,Powell County,12303
Pulaski,2012346.00,Pulaski County,65243
Robertson,22796.00,Robertson County,2149
Rockcastle,301724.00,Rockcastle County,16736
Rowan,663451.00,Rowan County,24519
Russell,579966.00,Russell County,17944
Scott,3206754.00,Scott County,57079
Shelby,1506643.00,Shelby County,49022
Simpson,792800.00,Simpson County,18530
Spencer,250320.00,Spencer County,19302
Taylor,799268.00,Taylor County,25735
Todd,332601.00,Todd County,12318
Trigg,257427.00,Trigg County,14666
Trimble,465354.00,Trimble County,8529
Union,746237.00,Union County,14497
Warren,5657965.00,Warren County,132759
Washington,289074.00,Washington County,12098
Wayne,385141.00,Wayne County,20278
Webster,512479.00,Webster County,12945
Whitley,963473.00,Whitley County,36362
Wolfe,87903.00,Wolfe County,7151
Woodford,1155061.00,Woodford County,26654
Louisiana,235947575.00,Louisiana,4658285
Acadia,1443461.00,Acadia Parish,62207
Allen,643915.00,Allen Parish,25594
Ascension,8408442.00,Ascension Parish,126798
Assumption,466957.00,Assumption Parish,21921
Avoyelles,842023.00,Avoyelles Parish,40138
Beauregard,996718.00,Beauregard Parish,37649
Bienville,706206.00,Bienville Parish,13234
Bossier,5207876.00,Bossier Parish,127377
Caddo,12450126.00,Caddo Parish,240431
Calcasieu,15512865.00,Calcasieu Parish,204038
Caldwell,180016.00,Caldwell Parish,9946
Cameron,1259147.00,Cameron Parish,6981
Catahoula,179326.00,Catahoula Parish,9459
Claiborne,443390.00,Claiborne Parish,15718
Concordia,548198.00,Concordia Parish,19314
De Soto,3717166.00,De Soto Parish,27440
East Baton Rouge,34139057.00,East Baton Rouge Parish,441471
East Carroll,161249.00,East Carroll Parish,6829
East Feliciana,451024.00,East Feliciana Parish,19103
Evangeline,851685.00,Evangeline Parish,33396
Franklin,560061.00,Franklin Parish,19996
Grant,328655.00,Grant Parish,22352
Iberia,2986732.00,Iberia Parish,69638
Iberville,1902581.00,Iberville Parish,32549
Jackson,442405.00,Jackson Parish,15761
Jefferson,21821050.00,Jefferson Parish,434096
Jefferson Davis,879901.00,Jefferson Davis Parish,31444
Lafayette,13091842.00,Lafayette Parish,244798
Lafourche,3767904.00,Lafourche Parish,97618
LaSalle,505692.00,LaSalle Parish,14910
Lincoln,2110843.00,Lincoln Parish,46851
Livingston,2967823.00,Livingston Parish,141561
Madison,419594.00,Madison Parish,10994
Morehouse,576198.00,Morehouse Parish,24839
Natchitoches,1298701.00,Natchitoches Parish,38179
Orleans,21944520.00,Orleans Parish,391172
Ouachita,6451069.00,Ouachita Parish,153401
Plaquemines,3898382.00,Plaquemines Parish,23264
Pointe Coupee,807285.00,Pointe Coupee Parish,21735
Rapides,5183392.00,Rapides Parish,129800
Red River,1169410.00,Red River Parish,8380
Richland,558917.00,Richland Parish,20147
Sabine,788101.00,Sabine Parish,23895
St. Bernard,1474182.00,St. Bernard Parish,47192
St. Charles,8705733.00,St. Charles Parish,53083
St. Helena,179542.00,St. Helena Parish,10145
St. James,3131651.00,St. James Parish,21045
St. John the Baptist,4276736.00,St. John the Baptist Parish,42824
St. Landry,2331914.00,St. Landry Parish,82196
St. Martin,1172638.00,St. Martin Parish,53497
St. Mary,2229956.00,St. Mary Parish,49294
St. Tammany,11296810.00,St. Tammany Parish,261303
Tangipahoa,3938183.00,Tangipahoa Parish,134845
Tensas,144208.00,Tensas Parish,4319
Terrebonne,5069581.00,Terrebonne Parish,110615
Union,461788.00,Union Parish,22068
Vermilion,1518462.00,Vermilion Parish,59573
Vernon,1858450.00,Vernon Parish,48394
Washington,1042533.00,Washington Parish,46158
Webster,1079908.00,Webster Parish,38323
West Baton Rouge,2223692.00,West Baton Rouge Parish,26550
West Carroll,181096.00,West Carroll Parish,10906
West Feliciana,882302.00,West Feliciana Parish,15570
Winn,424728.00,Winn Parish,13961
Maine,59433938.00,Maine,1345770
Androscoggin,4336828.00,Androscoggin County,108361
Aroostook,2328600.00,Aroostook County,67092
Cumberland,20335255.00,Cumberland County,296052
Franklin,986397.00,Franklin County,30046
Hancock,2261302.00,Hancock County,55098
Kennebec,5210153.00,Kennebec County,122241
Knox,1661849.00,Knox County,39792
Lincoln,1085513.00,Lincoln County,34685
Oxford,1537957.00,Oxford County,57895
Penobscot,6021508.00,Penobscot County,151823
Piscataquis,507211.00,Piscataquis County,16880
Sagadahoc,1563075.00,Sagadahoc County,36057
Somerset,1532489.00,Somerset County,50729
Waldo,1235893.00,Waldo County,39755
Washington,999112.00,Washington County,31286
York,7832355.00,York County,207978
Maryland,369623938.00,Maryland,6054954
Allegany,2701011.00,Allegany County,70527
Anne Arundel,47036809.00,Anne Arundel County,579895
Baltimore,51496525.00,Baltimore County,828503
Calvert,4104267.00,Calvert County,92660
Caroline,1146764.00,Caroline County,33509
Carroll,5809225.00,Carroll County,168774
Cecil,4397763.00,Cecil County,103092
Charles,5393681.00,Charles County,163733
Dorchester,1192798.00,Dorchester County,31864
Frederick,12654015.00,Frederick County,260609
Garrett,1180073.00,Garrett County,29049
Harford,12157167.00,Harford County,255594
Howard,25375945.00,Howard County,325951
Kent,870799.00,Kent County,19426
Montgomery,84245073.00,Montgomery County,1051129
Prince George's,42021090.00,Prince George's County,911562
Queen Anne's,1711130.00,Queen Anne's County,50585
St. Mary's,6902651.00,St. Mary's County,113764
Somerset,787539.00,Somerset County,25609
Talbot,1877804.00,Talbot County,37186
Washington,6491328.00,Washington County,151066
Wicomico,4665436.00,Wicomico County,104005
Worcester,2539432.00,Worcester County,52261
Baltimore City,42861684.00,Baltimore city,594601
Massachusetts,517727089.00,Massachusetts,6894883
Barnstable,12120706.00,Barnstable County,212923
Berkshire,6310394.00,Berkshire County,125217
Bristol,24369699.00,Bristol County,565096
Dukes,1430082.00,Dukes County,17461
Essex,42568760.00,Essex County,789725
Franklin,2829006.00,Franklin County,70276
Hampden,20619111.00,Hampden County,465749
Hampshire,7135235.00,Hampshire County,161596
Middlesex,163832374.00,Middlesex County,1611263
Nantucket,1341023.00,Nantucket County,11330
Norfolk,49858603.00,Norfolk County,707164
Plymouth,23945878.00,Plymouth County,521841
Suffolk,121032551.00,Suffolk County,805915
Worcester,40294714.00,Worcester County,829327
Michigan,467300231.00,Michigan,9984795
Alcona,203951.00,Alcona County,10453
Alger,222713.00,Alger County,9078
Allegan,4076546.00,Allegan County,118045
Alpena,976469.00,Alpena County,28391
Antrim,549958.00,Antrim County,23359
Arenac,407884.00,Arenac County,14944
Baraga,246496.00,Baraga County,8245
Barry,1491876.00,Barry County,61481
Bay,3240660.00,Bay County,102964
Benzie,477431.00,Benzie County,17767
Berrien,6832030.00,Berrien County,153352
Branch,1329477.00,Branch County,43444
Calhoun,5845846.00,Calhoun County,133806
Cass,1036008.00,Cass County,51847
Charlevoix,1102908.00,Charlevoix County,26202
Cheboygan,573688.00,Cheboygan County,25331
Chippewa,1018456.00,Chippewa County,37287
Clare,980822.00,Clare County,30884
Clinton,1985877.00,Clinton County,79615
Crawford,389840.00,Crawford County,14012
Delta,1133913.00,Delta County,35744
Dickinson,1209642.00,Dickinson County,25336
Eaton,4755123.00,Eaton County,110119
Emmet,1593610.00,Emmet County,33337
Genesee,14924552.00,Genesee County,405702
Gladwin,454438.00,Gladwin County,25430
Gogebic,427706.00,Gogebic County,13971
Grand Traverse,4751080.00,Grand Traverse County,93032
Gratiot,1225796.00,Gratiot County,40681
Hillsdale,1404188.00,Hillsdale County,45548
Houghton,1010979.00,Houghton County,35709
Huron,1366647.00,Huron County,30904
Ingham,15266950.00,Ingham County,291426
Ionia,1564551.00,Ionia County,64654
Iosco,761070.00,Iosco County,25244
Iron,300251.00,Iron County,11053
Isabella,2130052.00,Isabella County,69635
Jackson,6035348.00,Jackson County,158357
Kalamazoo,12734704.00,Kalamazoo County,265531
Kalkaska,518146.00,Kalkaska County,17984
Kent,38783598.00,Kent County,656800
Keweenaw,46691.00,Keweenaw County,2085
Lake,207535.00,Lake County,11752
Lapeer,2074540.00,Lapeer County,87808
Leelanau,740296.00,Leelanau County,21692
Lenawee,2694299.00,Lenawee County,98519
Livingston,6505086.00,Livingston County,192058
Luce,141689.00,Luce County,6266
Mackinac,396321.00,Mackinac County,10807
Macomb,35914052.00,Macomb County,872389
Manistee,784103.00,Manistee County,24619
Marquette,2664061.00,Marquette County,66689
Mason,943116.00,Mason County,29154
Mecosta,1145045.00,Mecosta County,43583
Menominee,696962.00,Menominee County,22772
Midland,4747069.00,Midland County,83412
Missaukee,435867.00,Missaukee County,15079
Monroe,5448244.00,Monroe County,150412
Montcalm,1472629.00,Montcalm County,63708
Montmorency,274997.00,Montmorency County,9304
Muskegon,5701513.00,Muskegon County,173645
Newaygo,1309772.00,Newaygo County,49027
Oakland,97010130.00,Oakland County,1257726
Oceana,628565.00,Oceana County,26562
Ogemaw,511013.00,Ogemaw County,20933
Ontonagon,119361.00,Ontonagon County,5713
Osceola,693583.00,Osceola County,23394
Oscoda,197946.00,Oscoda County,8318
Otsego,934865.00,Otsego County,24664
Ottawa,13249577.00,Ottawa County,291460
Presque Isle,313852.00,Presque Isle County,12602
Roscommon,519295.00,Roscommon County,23986
Saginaw,7732704.00,Saginaw County,190484
St. Clair,4830186.00,St. Clair County,159339
St. Joseph,1857701.00,St. Joseph County,60826
Sanilac,1138959.00,Sanilac County,41220
Schoolcraft,259126.00,Schoolcraft County,8081
Shiawassee,1539042.00,Shiawassee County,68065
Tuscola,1141575.00,Tuscola County,52355
Van Buren,2641262.00,Van Buren County,75594
Washtenaw,22929578.00,Washtenaw County,368242
Wayne,88105701.00,Wayne County,1750093
Wexford,1203376.00,Wexford County,33654
Minnesota,340130407.00,Minnesota,5640053
Aitkin,444850.00,Aitkin County,15841
Anoka,14449032.00,Anoka County,357538
Becker,1327508.00,Becker County,34461
Beltrami,1637687.00,Beltrami County,47205
Benton,1673672.00,Benton County,40938
Big Stone,179291.00,Big Stone County,4967
Blue Earth,3742998.00,Blue Earth County,67874
Brown,1390355.00,Brown County,24965
Carlton,1183667.00,Carlton County,35913
Carver,5135867.00,Carver County,105128
Cass,910489.00,Cass County,29622
Chippewa,553040.00,Chippewa County,11756
Chisago,1498517.00,Chisago County,56543
Clay,1861304.00,Clay County,64441
Clearwater,262797.00,Clearwater County,8843
Cook,236099.00,Cook County,5416
Cottonwood,587435.00,Cottonwood County,11232
Crow Wing,2546761.00,Crow Wing County,65191
Dakota,25781155.00,Dakota County,429453
Dodge,733746.00,Dodge County,20976
Douglas,1821547.00,Douglas County,38070
Faribault,452986.00,Faribault County,13671
Fillmore,580689.00,Fillmore County,21081
Freeborn,1167304.00,Freeborn County,30385
Goodhue,2658926.00,Goodhue County,46391
Grant,263664.00,Grant County,5977
Hennepin,127237733.00,Hennepin County,1265159
Houston,523844.00,Houston County,18667
Hubbard,716813.00,Hubbard County,21604
Isanti,1064444.00,Isanti County,40447
Itasca,1966460.00,Itasca County,45225
Jackson,670699.00,Jackson County,9799
Kanabec,389684.00,Kanabec County,16357
Kandiyohi,2148818.00,Kandiyohi County,43137
Kittson,182553.00,Kittson County,4286
Koochiching,496098.00,Koochiching County,12202
Lac qui Parle,239398.00,Lac qui Parle County,6628
Lake,590652.00,Lake County,10625
Lake of the Woods,183391.00,Lake of the Woods County,3736
Le Sueur,917293.00,Le Sueur County,28856
Lincoln,348891.00,Lincoln County,5619
Lyon,1498516.00,Lyon County,25579
McLeod,1710922.00,McLeod County,35826
Mahnomen,157697.00,Mahnomen County,5540
Marshall,358568.00,Marshall County,9345
Martin,1093326.00,Martin County,19641
Meeker,921919.00,Meeker County,23166
Mille Lacs,783528.00,Mille Lacs County,26166
Morrison,1116878.00,Morrison County,33329
Mower,1681589.00,Mower County,40040
Murray,597978.00,Murray County,8197
Nicollet,1485064.00,Nicollet County,34311
Nobles,1238412.00,Nobles County,21645
Norman,225905.00,Norman County,6388
Olmsted,10960572.00,Olmsted County,158188
Otter Tail,2131442.00,Otter Tail County,58684
Pennington,1680957.00,Pennington County,14069
